Source,Medium
vimeo.lightning.force.com,
word-view.officeapps.live.com,
10.11.0.1:8090,
10bestseo.com,
Campanhas,(not set)
Campanhas,Digital+|+LAL
Folder,CafedaManha_04maio
Parceiros,Cia das Letras
RD+Station,email
Teste,(not set)
afterdarkmode.com,
app.writesonic.com,
appoa.org.br,
ar.search.yahoo.com,
asdasdasdas,null
attachments.office.net,
ava.escolaparque.g12.br,
ava.fismaead.edu.br,
ava.ifpr.edu.br,
ava2.ifht.net.br,
avaced.seduc.ce.gov.br,
baiadalusofonia.blogspot.com,
bestsearch.ai,
bianka1910.hocoos.com,
bibliotecaescolardepinheiro.blogspot.com,
blancablog.online,
blinklearning.com,
blogsmith.online,
blogue.rbe.mec.pt,
br.pinterest.com,
brc-excel.officeapps.live.com,
campanhas,lal compradores
canalmeio.com.br,
cetec.grupoa.education,
chat.openai.com,
communi.teya.us,
cursosead.ifmt.edu.br,
de.wikipedia.org,
desk.oneforma.com,
ead-grad.ucp.br,
ead.frm.org.br,
ead06.proj.ufsm.br,
edit.rbs.com.br,
editoraespirito.wordpress.com,
elearning2223.esev.ipv.pt,
facplay.grupoa.education,
famportal.com.br,
feevale.grupoa.education,
fernandapulido.com,
files.copyspider.com.br,
floatvibes.substack.com,
freespoke.com,
futurodasaude.com.br,
getpocket.com,
graduacao.mackenzie.br,
grafiati.com,
guion.digisac.co,
harpro.net,
hitree.shop,
homologsebrae.dtcom2go.com.br,
hotlist.fahnd.com,
iesb.grupoa.education,
letterboxd.com,
lm.workplace.com,
ltf.jooble.com,
minhaslicoes.com.br,
minutopsicologia.com.br,
moodle.poa.ifrs.edu.br,
moodle.toledoprudente.edu.br,
moodle.udesc.br,
moodle.uergs.edu.br,
morcegoseolhimancos.blogspot.com,
ndmais.com.br,
one-tab.com,
open.spotify.com,
otambosi.blogspot.com,
parceiros,zh
pepsic.bvsalud.org,
petalsearch.com,
pinterest.com.mx,
pnl2027.gov.pt,
pocket_saves,(not set)
portalead.baraodemaua.br,
portalsalvadorfm.com.br,
psicanalise682.wordpress.com,
psico.online,
pt.search.yahoo.com,
referral,sms
revistagalileu.globo.com,
revistas.ufg.br,
sapo.pt,
search.becovi.com,
search.brave.com,
setec.ufmt.br,
seuamigoguru.com,
shinysearch.com,
shiro.moderna.com.br,
soccultgeo.eu,
sosmulherefamilia.blogspot.com,
teses.usp.br,
umsoplaneta.globo.com,
unicep.grupoa.education,
usc-word-edit.officeapps.live.com,
valorizeprojetos.bitrix24.com.br,
veja.abril.com.br,
vitrineglobal.wordpress.com,
web.skype.com,
web.telegram.org,
word-edit.officeapps.live.com,
yolandablog.store,
youtube,
(not set),ente
(not set),vizinhanca
--sanitized--,--sanitized--
Campanhas,POA | Interesses Aberto - Nadia Murad
Campanhas,POA | Interesses Aberto - Rosa Montero
Campanhas,SP | Interesses - Nadia Murad
Campanhas,SP+|+Interno
DrAlegria,
JubgfBcc,CEAifaebfFKC
Nitronews E-mail Marketing,emai
Organico,fronteiras.com
Organico,
Parceiros,(not set)
Parceiros,CNN
Parceiros,Clube_Folha
Parceiros,Colegio Bandeirantes
Parceiros,Matinal
Parceiros,Rogerio
Parceiros,UNICRED
The Shift Newsletter,email
abaiak.com,
acervocmsp.educacao.sp.gov.br,
admanager.google.com,
afshan.shop,
ahrefs.com,
alinasblog.xyz,
americanhauntingsink.com,
app.bibguru.com,
app.octadesk.com,
ariyh.com,
articulateusercontent.com,
assets-pucrs-priv.pucrs.br,
ava.ead.unisal.br,
ava.ufrpe.br,
ava2.uece.br,
away.vk.com,
besthatcheries.com,
bienaldolivrojf.com.br,
bing.com,
blogdaines.wordpress.com,
bonniesblog.online,
br.images.search.yahoo.com,
bstore.bezeq.co.il,
ca.search.yahoo.com,
calhau,
cantinhodoprofessor.com.br,
chat.utalk.chat,
cindyshome.store,
clipescola.com.br,
cmspweb.ip.tv,
cn.bing.com,
cohesive.so,
comunidade.orbita.org.br,
content.us-east-1.content-service.brightspace.com,
ctt.padlet.org,
curiouscat.live,
cursos.aberta.org.br,
curtlink.com,
digital.bernoulli.dev.br,
dochub.com,
doit2024.xyz,
ead.biodanzasc.com,
ead.ipleiria.pt,
eadsp.unichristus.edu.br,
edittasolucoes.com.br,
elainasblog.xyz,
elvirablog.online,
empiricus.com.br,
ericshome.store,
es.semrush.com,
escolatrabalhoevida.com.br,
espanol.search.yahoo.com,
estadao.com.br,
eugenio.cc,
evernote.com,
fb,cpc
feedly.com,
feministcoalition2020.com,
fernandapena.46graus.com,
figensahin.com,
files.souionica.com.br,
flightglobal.com,
flint.media,
focusmalaysia.my,
fronteiras.com:2222,
gabriel2656.wixsite.com,
gbap.smzt.shop,
gentedemidia.blogspot.com,
gosearches.gg,
gosearchresults.com,
grooeland.blogspot.com,
grunfeld.se,
gzh,display
handmaidsbrasil.com,
hayleysblog.online,
helensblog.online,
hml.teatrob32.com.br,
homevisit.com,
homologacaoavaefape2.educacao.sp.gov.br,
horta-e-historia.cms.webnode.page,
horta-e-historia.webnode.page,
hs_email,email
humangeography.eu,
iad.scorm.canvaslms.com,
ilovelucius.com,
imdb.com,
in.pinterest.com,
indicareganhar.bitrix24.com.br,
inquietaria.99jobs.com,
integra.grupoa.education,
internacionaldaamazonia.com,
issuesetc.org,
it.search.yahoo.com,
jacblog.xyz,
jobscreative.com.br,
joongdo.co.kr,
jp.fashionnetwork.com,
kaceyblog.online,
lamenteesmaravillosa.com,
lerz.lighthearteds.shop,
live-nh10.mconf.rnp.br,
livro-digital.p4ed.com,
localhost,
lume.ufrgs.br,
mescla.cc,
miniappassets.microsoft.com,
moodle-ilum.cnpem.br,
moodle.cfepo.pt,
moodle.cognos.pt,
moodle.uevora.pt,
morphsuits.fr,
mpelearningjoaobaptista.wordpress.com,
mrooms.net,
multivix.grupoa.education,
muquiranas.com,
mustuniversity.s3-sa-east-1.amazonaws.com,
naconline.nac.com.br,
ndry.smzt.shop,
olatcc.com.br,
online.sefaz.am.gov.br,
ovelhoprofessor.blogspot.com,
panoptica.app,
petrobras.m.workplace.com,
pinterest.pt,
plataformaredigir.com.br,
portal.gosrch.co,
privacywall.org,
prod.uhrs.playmsn.com,
profit.bitrix24.com.br,
puc-1312.webflow.io,
quickaccess.internet.apps.samsung.com,
rascunho.com.br,
revista.unitins.br,
richarddat.wixsite.com,
rotinasinteligentes.blogspot.com,
s.zlnav.com,
s3arch.page,
scholar.google.com,
scholar.google.es,
se.search.yahoo.com,
search.google.com,
searchbip.com,
seer.ufu.br,
senacrsedu.sharepoint.com,
seosking.xyz,
sig.iffarroupilha.edu.br,
sig.unila.edu.br,
sis.posuscs.com.br,
sis.sava.posestacio.com.br,
site.veracruz.edu.br,
sitelike.org,
sites.ufpe.br,
socialismocriativo.com.br,
socreports.com,
somoscidade.com.br,
sou.ucs.br,
startraffic.online,
stoneco.lightning.force.com,
storage.aprovatotal.com.br,
storage.googleapis.com,
substack.com,
swex.smzt.shop,
teste,(not set)
tildablog.online,
tutoriaonline.fps.edu.br,
ucv.grupoa.education,
uniesp.edu.br,
uniesp.grupoa.education,
univali2.grupoa.education,
vidasimples.co,
vitaldigital.vitalbrazilsp.com.br,
voetbalshop.be,
web.whatsapp.com,
webmailpro.uol.com.br,
wordpress.com,
www-pensarcontemporaneo-com.cdn.ampproject.org,
www1-folha-uol-com-br.cdn.ampproject.org,
xzkptj.lighthearteds.shop,
yandex,organic
yandex.ru,
yclnetwork.mn.co,
yyivk.lighthearteds.shop,
